production_id,date,sku,output_quantity,downtime_hours,downtime_reason
PR000459,2022-03-13,SKU0007,799,0.78,Labor Issue
PR000460,2024-09-03,SKU0019,872,3.0,None
PR000461,2022-01-01,SKU0012,1363,0.15,Material Shortage
PR000462,2024-01-22,SKU0015,128,2.16,Labor Issue
PR000463,2020-05-19,SKU0023,437,3.31,None
PR000464,2023-06-10,SKU0014,750,2.23,Labor Issue
PR000465,2022-10-19,SKU0011,500,1.38,Labor Issue
PR000466,2022-05-07,SKU0026,1081,6.0,Labor Issue
PR000467,2020-12-18,SKU0010,1221,0.71,Machine Failure
PR000468,2019-12-05,SKU0027,210,0.04,Material Shortage
PR000469,2020-10-20,SKU0011,1937,1.13,None
PR000470,2021-08-19,SKU0006,901,0.07,None
PR000471,2020-03-04,SKU0002,44,6.16,Material Shortage
PR000472,2021-06-17,SKU0011,1120,0.47,Material Shortage
PR000473,2019-05-19,SKU0019,1302,3.11,Material Shortage
PR000474,2020-06-25,SKU0006,534,2.98,Material Shortage
PR000475,2024-10-05,SKU0014,1433,0.49,Maintenance
PR000476,2022-06-09,SKU0020,460,1.94,None
PR000477,2020-01-19,SKU0006,390,0.1,Maintenance
PR000478,2019-07-13,SKU0017,1870,1.32,Labor Issue
PR000479,2024-03-10,SKU0010,1067,0.03,Labor Issue
PR000480,2021-01-01,SKU0028,26,5.08,None
PR000481,2024-12-03,SKU0001,793,7.47,Labor Issue
PR000482,2020-11-15,SKU0003,1120,0.5,Material Shortage
PR000483,2019-03-23,SKU0008,974,0.47,Maintenance
PR000484,2020-06-15,SKU0008,547,2.8,Material Shortage
PR000485,2024-06-06,SKU0027,620,0.58,Labor Issue
PR000486,2019-08-09,SKU0020,566,4.51,Maintenance
PR000487,2020-09-26,SKU0022,703,1.71,Material Shortage
PR000488,2023-11-05,SKU0015,1242,0.86,None
PR000489,2024-02-18,SKU0024,184,3.58,Material Shortage
PR000490,2019-01-03,SKU0007,1092,1.36,Labor Issue
PR000491,2023-09-14,SKU0011,1852,4.85,Maintenance
PR000492,2019-07-25,SKU0007,1153,5.26,None
PR000493,2024-01-30,SKU0029,1590,0.36,Maintenance
PR000494,2019-02-09,SKU0004,1913,0.0,None
PR000495,2024-10-07,SKU0025,1632,8.26,Maintenance
PR000496,2020-10-05,SKU0012,847,4.73,Labor Issue
PR000497,2023-03-11,SKU0026,598,0.11,None
PR000498,2024-03-22,SKU0006,805,3.58,Machine Failure
PR000499,2024-11-13,SKU0014,1654,1.22,Maintenance
PR000500,2021-06-16,SKU0012,1743,0.6,Maintenance
PR000501,2021-12-21,SKU0011,1357,4.22,Material Shortage
PR000502,2022-07-03,SKU0019,1948,0.44,None
PR000503,2020-11-01,SKU0021,1177,5.89,Machine Failure
PR000504,2023-02-14,SKU0005,1570,0.46,Labor Issue
PR000505,2020-12-19,SKU0014,78,1.9,Material Shortage
PR000506,2021-12-07,SKU0021,578,0.5,Machine Failure
PR000507,2024-05-09,SKU0024,1878,1.58,None
PR000508,2022-03-05,SKU0016,412,2.3,Machine Failure
PR000509,2019-09-07,SKU0025,545,0.42,Maintenance
PR000510,2024-03-07,SKU0013,1632,1.47,Maintenance
PR000511,2024-01-28,SKU0025,168,1.27,Material Shortage
PR000512,2023-02-12,SKU0029,680,0.15,None
PR000513,2022-05-19,SKU0022,1686,3.41,None
PR000514,2019-02-13,SKU0022,582,0.82,Machine Failure
PR000515,2020-08-05,SKU0025,514,1.71,Material Shortage
PR000516,2022-07-12,SKU0020,1337,1.45,None
PR000517,2019-08-08,SKU0022,31,1.44,Maintenance
PR000518,2024-04-09,SKU0004,286,0.23,Machine Failure
PR000519,2021-09-17,SKU0011,593,1.1,Labor Issue
PR000520,2023-12-18,SKU0017,1066,1.2,Maintenance
PR000521,2021-05-07,SKU0007,1926,2.65,Material Shortage
PR000522,2021-03-14,SKU0014,616,3.67,None
PR000523,2020-05-04,SKU0026,1024,1.57,Maintenance
PR000524,2023-11-16,SKU0011,1596,0.18,Labor Issue
PR000525,2023-02-02,SKU0028,269,0.54,Labor Issue
PR000526,2023-09-02,SKU0022,1203,0.36,Material Shortage
PR000527,2019-02-23,SKU0009,1759,0.27,Maintenance
PR000528,2020-09-07,SKU0023,517,0.91,Machine Failure
PR000529,2021-12-18,SKU0013,1126,0.52,Maintenance
PR000530,2024-01-23,SKU0023,1033,0.49,Labor Issue
PR000531,2021-08-12,SKU0018,582,0.11,Material Shortage
PR000532,2023-06-18,SKU0028,1113,0.04,Material Shortage
PR000533,2020-10-11,SKU0011,225,0.22,Machine Failure
PR000534,2020-01-30,SKU0015,669,0.38,Material Shortage
PR000535,2022-09-21,SKU0025,1763,1.13,Material Shortage
PR000536,2020-01-06,SKU0026,916,1.43,Material Shortage
PR000537,2021-05-07,SKU0025,125,0.3,Material Shortage
PR000538,2021-03-01,SKU0022,955,1.11,Material Shortage
PR000539,2020-10-19,SKU0029,1232,0.84,Labor Issue
PR000540,2022-10-24,SKU0019,1120,0.41,Maintenance
PR000541,2020-01-19,SKU0001,73,0.01,None
PR000542,2024-10-10,SKU0004,1650,1.26,Material Shortage
PR000543,2019-08-27,SKU0014,1214,2.31,None
PR000544,2019-07-14,SKU0014,1705,0.51,None
PR000545,2024-10-09,SKU0003,1842,0.28,Labor Issue
PR000546,2022-02-26,SKU0030,1983,4.36,Material Shortage
PR000547,2024-07-08,SKU0028,1739,0.64,None
PR000548,2019-06-05,SKU0017,55,0.51,Material Shortage
PR000549,2021-07-11,SKU0003,719,3.89,Machine Failure
PR000550,2023-05-29,SKU0016,552,3.4,Machine Failure
PR000551,2021-09-01,SKU0014,31,1.19,Machine Failure
PR000552,2022-05-15,SKU0030,1550,1.34,None
PR000553,2023-12-20,SKU0020,573,0.49,Machine Failure
PR000554,2021-04-17,SKU0029,666,0.16,Labor Issue
PR000555,2024-06-30,SKU0013,283,1.7,Labor Issue
PR000556,2022-09-25,SKU0015,1744,0.21,None
PR000557,2019-07-23,SKU0014,1855,1.19,Material Shortage
PR000558,2019-06-10,SKU0024,1517,5.64,Maintenance
PR000559,2020-01-27,SKU0025,186,6.11,Material Shortage
PR000560,2021-02-07,SKU0019,497,0.55,Material Shortage
PR000561,2021-12-29,SKU0006,1465,1.96,Material Shortage
PR000562,2020-02-09,SKU0010,129,1.29,Material Shortage
PR000563,2020-08-30,SKU0027,638,4.17,Maintenance
PR000564,2023-06-03,SKU0015,1315,0.63,Machine Failure
PR000565,2023-03-21,SKU0021,113,0.01,Material Shortage
PR000566,2024-01-12,SKU0022,1222,0.35,Labor Issue
PR000567,2020-11-20,SKU0020,12,0.86,None
PR000568,2022-05-25,SKU0026,1294,0.76,None
PR000569,2024-10-04,SKU0006,1624,3.13,Labor Issue
PR000570,2020-01-01,SKU0023,1238,2.28,Material Shortage
PR000571,2023-09-19,SKU0025,443,0.71,Maintenance
PR000572,2020-03-30,SKU0010,1813,1.22,Machine Failure
PR000573,2019-04-14,SKU0007,1535,0.2,None
PR000574,2019-03-18,SKU0022,446,4.57,Machine Failure
PR000575,2019-08-18,SKU0017,985,5.48,Maintenance
PR000576,2024-04-21,SKU0018,992,7.8,None
PR000577,2022-04-20,SKU0017,714,4.06,Machine Failure
PR000578,2021-06-11,SKU0009,73,0.38,Maintenance
PR000579,2023-04-23,SKU0010,536,0.09,Machine Failure
PR000580,2024-09-05,SKU0010,100,1.73,Material Shortage
PR000581,2023-08-03,SKU0025,175,4.87,Maintenance
PR000582,2019-10-26,SKU0007,426,0.39,Machine Failure
PR000583,2021-08-14,SKU0016,1140,0.01,Material Shortage
PR000584,2022-01-19,SKU0029,1189,3.27,Material Shortage
PR000585,2023-01-14,SKU0018,40,0.16,Maintenance
PR000586,2019-12-31,SKU0006,428,1.07,Labor Issue
PR000587,2023-08-26,SKU0027,343,2.27,None
PR000588,2019-12-17,SKU0020,1447,0.54,Maintenance
PR000589,2024-03-19,SKU0001,365,0.18,Material Shortage
PR000590,2021-10-08,SKU0001,1143,2.94,Material Shortage
PR000591,2020-05-13,SKU0012,608,1.99,Maintenance
PR000592,2021-08-07,SKU0021,656,8.93,Labor Issue
PR000593,2024-06-17,SKU0028,727,0.84,None
PR000594,2024-08-08,SKU0002,228,0.13,Machine Failure
PR000595,2020-05-22,SKU0004,824,2.65,Maintenance
PR000596,2022-08-20,SKU0017,1153,1.48,None
PR000597,2019-06-15,SKU0004,1375,0.48,None
PR000598,2021-07-08,SKU0011,888,3.04,Material Shortage
PR000599,2019-04-24,SKU0022,1341,0.46,Machine Failure
PR000600,2021-09-18,SKU0026,983,0.6,Maintenance
PR000601,2024-05-05,SKU0004,1672,0.19,Material Shortage
PR000602,2022-06-12,SKU0001,835,1.02,Material Shortage
PR000603,2020-05-29,SKU0007,1360,1.09,Labor Issue
PR000604,2022-05-16,SKU0030,1296,1.45,None
PR000605,2020-12-09,SKU0018,116,2.47,Maintenance
PR000606,2024-12-25,SKU0009,817,4.73,Maintenance
PR000607,2019-12-05,SKU0029,367,0.3,Maintenance
PR000608,2019-03-09,SKU0003,1117,0.11,Material Shortage
PR000609,2023-05-16,SKU0008,167,0.04,Labor Issue
PR000610,2023-04-14,SKU0029,953,0.31,Machine Failure
PR000611,2020-01-18,SKU0024,1738,2.15,Material Shortage
PR000612,2019-01-19,SKU0019,1364,2.6,Machine Failure
PR000613,2024-10-22,SKU0004,660,3.09,Labor Issue
PR000614,2020-07-26,SKU0018,1937,0.56,None
PR000615,2022-07-23,SKU0020,694,0.73,Maintenance
PR000616,2024-04-27,SKU0027,924,1.32,Machine Failure
PR000617,2020-10-12,SKU0011,151,0.13,Material Shortage
PR000618,2023-07-04,SKU0027,585,1.89,Machine Failure
PR000619,2021-09-20,SKU0014,1900,8.24,None
PR000620,2022-08-31,SKU0025,912,0.9,Maintenance
PR000621,2021-06-19,SKU0018,273,2.8,Machine Failure
PR000622,2023-08-12,SKU0028,1577,1.39,None
PR000623,2023-05-05,SKU0028,495,0.27,Material Shortage
PR000624,2024-04-07,SKU0029,1747,1.75,Labor Issue
PR000625,2023-11-17,SKU0016,100,0.71,Material Shortage
PR000626,2022-02-10,SKU0003,556,0.07,Maintenance
PR000627,2024-04-28,SKU0015,1105,2.02,Material Shortage
PR000628,2021-11-03,SKU0027,1552,3.92,Material Shortage
PR000629,2023-10-05,SKU0027,72,0.85,Material Shortage
PR000630,2019-10-15,SKU0004,1037,0.99,Material Shortage
PR000631,2023-05-10,SKU0005,1456,4.43,Maintenance
PR000632,2023-10-12,SKU0017,156,3.36,None
PR000633,2022-01-03,SKU0007,734,2.51,Machine Failure
PR000634,2021-07-28,SKU0016,131,0.57,Labor Issue
PR000635,2022-12-19,SKU0014,1361,4.82,Machine Failure
PR000636,2020-07-24,SKU0026,1018,0.34,Machine Failure
PR000637,2021-09-27,SKU0016,1427,1.97,Labor Issue
PR000638,2022-04-20,SKU0007,1399,0.06,Maintenance
PR000639,2021-07-06,SKU0009,1911,2.06,Labor Issue
PR000640,2024-02-18,SKU0004,558,0.65,Maintenance
PR000641,2021-04-12,SKU0030,106,1.19,Machine Failure
PR000642,2023-08-06,SKU0030,1643,0.85,Maintenance
PR000643,2020-09-07,SKU0022,264,0.38,None
PR000644,2020-02-10,SKU0011,1228,1.95,Labor Issue
PR000645,2023-10-16,SKU0002,1102,4.27,None
PR000646,2019-04-03,SKU0012,154,6.39,Machine Failure
PR000647,2020-10-15,SKU0012,1806,0.43,Labor Issue
PR000648,2020-03-09,SKU0030,987,2.53,Machine Failure
PR000649,2022-02-09,SKU0004,996,2.18,None
PR000650,2020-01-10,SKU0018,246,0.84,Machine Failure
PR000651,2021-12-02,SKU0026,530,0.04,Labor Issue
PR000652,2019-07-26,SKU0021,857,2.34,Labor Issue
PR000653,2021-02-18,SKU0007,1971,5.82,Machine Failure
PR000654,2022-08-12,SKU0029,537,2.0,Labor Issue
PR000655,2022-02-15,SKU0001,728,1.14,Labor Issue
PR000656,2020-06-15,SKU0026,1177,1.49,Machine Failure
PR000657,2019-03-31,SKU0026,153,0.45,None
PR000658,2022-01-22,SKU0023,1709,2.78,Labor Issue
PR000659,2019-01-13,SKU0026,91,2.74,Labor Issue
PR000660,2024-02-01,SKU0013,1456,0.31,Labor Issue
PR000661,2021-03-15,SKU0006,337,4.21,Labor Issue
PR000662,2021-08-02,SKU0006,1503,0.63,Machine Failure
PR000663,2024-02-01,SKU0012,1716,8.06,None
PR000664,2023-05-30,SKU0008,1154,0.97,None
PR000665,2024-05-13,SKU0024,449,0.39,Maintenance
PR000666,2021-11-18,SKU0022,809,0.87,Labor Issue
PR000667,2019-10-23,SKU0019,786,1.16,Labor Issue
PR000668,2021-07-14,SKU0005,272,0.14,Maintenance
PR000669,2020-10-01,SKU0018,1952,1.73,None
PR000670,2020-09-19,SKU0030,587,1.82,Material Shortage
PR000671,2022-03-13,SKU0005,176,2.69,Material Shortage
PR000672,2021-07-30,SKU0030,1719,0.06,None
PR000673,2021-04-09,SKU0025,830,1.56,Labor Issue
PR000674,2023-11-06,SKU0010,642,0.11,Material Shortage
PR000675,2021-09-02,SKU0001,1898,2.42,Machine Failure
PR000676,2021-08-12,SKU0010,1072,0.11,Machine Failure
PR000677,2022-06-16,SKU0005,566,4.85,Maintenance
PR000678,2021-08-09,SKU0012,665,2.42,None
PR000679,2021-08-01,SKU0022,1378,1.42,None
PR000680,2022-04-19,SKU0030,1735,1.17,Material Shortage
PR000681,2024-11-05,SKU0027,1331,0.28,Labor Issue
PR000682,2023-03-15,SKU0007,867,0.69,None
PR000683,2022-01-01,SKU0009,1908,4.06,Material Shortage
PR000684,2019-06-28,SKU0022,1653,4.7,Material Shortage
PR000685,2024-01-03,SKU0021,1798,0.0,None
PR000686,2022-06-11,SKU0012,1069,1.8,Material Shortage
PR000687,2020-04-09,SKU0023,301,2.54,Maintenance
PR000688,2023-11-10,SKU0029,867,1.93,Maintenance
PR000689,2022-05-15,SKU0001,911,0.17,None
PR000690,2021-06-03,SKU0011,407,0.49,Labor Issue
PR000691,2022-08-25,SKU0030,1212,0.58,Maintenance
PR000692,2023-07-13,SKU0021,821,3.56,Maintenance
PR000693,2021-08-02,SKU0015,1853,1.24,None
PR000694,2021-07-13,SKU0002,1152,1.33,Machine Failure
PR000695,2024-04-22,SKU0020,560,5.46,Material Shortage
PR000696,2020-05-08,SKU0007,1560,2.03,Maintenance
PR000697,2023-03-27,SKU0021,1289,4.58,Machine Failure
PR000698,2024-05-23,SKU0012,1141,1.22,Labor Issue
PR000699,2021-12-30,SKU0022,463,0.32,Machine Failure
PR000700,2023-12-31,SKU0018,143,5.32,None
PR000701,2021-02-01,SKU0003,441,1.23,Labor Issue
PR000702,2019-02-19,SKU0007,1223,0.4,Labor Issue
PR000703,2021-06-24,SKU0011,1180,0.72,Machine Failure
PR000704,2020-07-17,SKU0018,486,0.1,None
PR000705,2021-02-21,SKU0012,859,1.26,Maintenance
PR000706,2024-08-02,SKU0006,1157,3.84,Machine Failure
PR000707,2024-01-06,SKU0005,1935,5.42,Maintenance
PR000708,2020-08-06,SKU0026,147,5.39,Machine Failure
PR000709,2022-08-12,SKU0001,1359,0.27,Maintenance
PR000710,2019-08-24,SKU0012,1094,0.96,Machine Failure
PR000711,2024-10-04,SKU0027,1256,0.06,Labor Issue
PR000712,2024-04-26,SKU0026,1357,3.86,Material Shortage
PR000713,2019-12-26,SKU0011,810,0.89,Labor Issue
PR000714,2024-04-14,SKU0004,665,1.99,Maintenance
PR000715,2019-04-20,SKU0027,89,2.51,None
PR000716,2019-07-11,SKU0018,1357,1.12,Labor Issue
PR000717,2021-06-22,SKU0004,198,0.73,Material Shortage
PR000718,2022-01-21,SKU0017,1184,6.55,Maintenance
PR000719,2021-05-11,SKU0002,537,6.68,Labor Issue
PR000720,2021-12-19,SKU0029,1144,0.68,Machine Failure
PR000721,2020-10-11,SKU0024,300,1.31,None
PR000722,2019-02-08,SKU0022,723,7.21,Maintenance
PR000723,2020-09-28,SKU0002,1598,0.01,Labor Issue
PR000724,2021-11-02,SKU0012,962,1.06,Maintenance
PR000725,2019-02-05,SKU0006,1459,0.21,Machine Failure
PR000726,2024-11-18,SKU0010,67,1.42,Material Shortage
PR000727,2022-09-23,SKU0025,1788,0.05,Labor Issue
PR000728,2024-06-06,SKU0023,1945,1.04,Maintenance
PR000729,2019-06-15,SKU0025,458,0.5,Maintenance
PR000730,2024-02-23,SKU0021,1537,1.52,Maintenance
PR000731,2019-01-31,SKU0023,397,11.04,Material Shortage
PR000732,2019-01-11,SKU0027,619,3.22,Maintenance
PR000733,2024-07-04,SKU0016,1309,3.74,None
PR000734,2024-11-13,SKU0014,1584,2.02,None
PR000735,2020-04-30,SKU0007,1163,0.08,Maintenance
PR000736,2022-07-13,SKU0028,729,0.46,None
PR000737,2022-12-18,SKU0028,555,5.18,Labor Issue
PR000738,2024-04-27,SKU0019,1952,0.91,None
PR000739,2024-05-17,SKU0023,780,0.22,Maintenance
PR000740,2024-01-26,SKU0017,1613,2.42,Machine Failure
PR000741,2023-01-09,SKU0009,1751,0.71,Labor Issue
PR000742,2022-09-28,SKU0026,893,0.63,Material Shortage
PR000743,2021-09-17,SKU0013,609,12.41,Maintenance
PR000744,2021-04-04,SKU0022,747,3.91,Material Shortage
PR000745,2023-01-02,SKU0005,281,1.05,Machine Failure
PR000746,2024-11-23,SKU0023,660,7.85,Material Shortage
PR000747,2019-08-14,SKU0005,923,2.1,Maintenance
PR000748,2021-02-15,SKU0010,1839,2.71,Maintenance
PR000749,2022-01-17,SKU0021,995,0.06,Machine Failure
PR000750,2020-11-18,SKU0027,1959,0.26,Maintenance
PR000751,2020-06-13,SKU0010,1601,2.01,Machine Failure
PR000752,2021-08-29,SKU0027,745,4.59,Machine Failure
PR000753,2021-07-24,SKU0007,1480,1.95,Maintenance
PR000754,2022-11-23,SKU0026,86,0.29,None
PR000755,2024-11-23,SKU0015,1102,0.25,Machine Failure
PR000756,2022-07-18,SKU0007,1228,3.72,Maintenance
PR000757,2024-06-21,SKU0029,790,0.3,None
PR000758,2023-03-07,SKU0027,1360,1.47,Machine Failure
PR000759,2020-11-09,SKU0015,1277,0.08,None
PR000760,2019-02-09,SKU0003,303,0.17,Labor Issue
PR000761,2022-01-10,SKU0019,1403,2.23,Labor Issue
PR000762,2021-04-24,SKU0010,129,2.34,None
PR000763,2023-10-10,SKU0028,595,0.84,Machine Failure
PR000764,2020-03-22,SKU0029,1299,0.49,Maintenance
PR000765,2022-05-19,SKU0015,1722,3.36,Material Shortage
PR000766,2022-09-12,SKU0003,557,0.49,Maintenance
PR000767,2019-08-15,SKU0006,898,1.56,Material Shortage
PR000768,2019-02-17,SKU0012,1206,6.9,Material Shortage
PR000769,2023-01-02,SKU0015,1291,0.32,Machine Failure
PR000770,2024-01-05,SKU0006,1831,5.66,None
PR000771,2019-07-06,SKU0013,1345,0.4,Maintenance
PR000772,2024-04-16,SKU0029,1535,1.68,None
PR000773,2021-04-28,SKU0019,1635,0.95,Labor Issue
PR000774,2024-07-25,SKU0003,77,6.7,Machine Failure
PR000775,2022-06-06,SKU0008,783,0.64,Machine Failure
PR000776,2022-11-14,SKU0008,1362,1.02,Labor Issue
PR000777,2021-09-05,SKU0023,673,8.13,Maintenance
PR000778,2023-06-01,SKU0026,1579,1.54,Labor Issue
PR000779,2021-10-13,SKU0020,1532,1.4,Maintenance
PR000780,2024-02-25,SKU0015,237,0.6,Material Shortage
PR000781,2019-09-27,SKU0004,1157,2.42,Machine Failure
PR000782,2023-06-19,SKU0019,1996,0.03,Maintenance
PR000783,2019-11-06,SKU0021,1215,0.1,None
PR000784,2024-08-05,SKU0003,1379,1.83,None
PR000785,2023-04-24,SKU0013,277,0.84,Machine Failure
PR000786,2021-12-31,SKU0008,1041,6.13,Labor Issue
PR000787,2023-08-23,SKU0023,523,4.67,Labor Issue
PR000788,2022-12-16,SKU0016,179,2.5,Maintenance
PR000789,2024-12-07,SKU0013,122,3.41,Labor Issue
PR000790,2019-08-08,SKU0003,1269,2.2,Machine Failure
PR000791,2019-02-22,SKU0016,1757,0.27,Maintenance
PR000792,2023-10-24,SKU0009,1396,2.9,Material Shortage
PR000793,2023-01-14,SKU0028,1074,0.47,Labor Issue
PR000794,2023-07-25,SKU0014,1094,0.78,Labor Issue
PR000795,2022-06-14,SKU0013,479,3.42,Maintenance
PR000796,2020-12-20,SKU0021,1583,1.54,None
PR000797,2020-02-10,SKU0025,1042,3.93,Labor Issue
PR000798,2019-03-13,SKU0007,1797,0.48,Machine Failure
PR000799,2024-01-28,SKU0015,83,1.87,Labor Issue
PR000800,2024-08-15,SKU0007,1178,0.18,Material Shortage
PR000801,2022-05-14,SKU0006,564,2.06,Labor Issue
PR000802,2023-04-17,SKU0002,618,2.88,None
PR000803,2020-01-22,SKU0009,356,1.76,Labor Issue
PR000804,2023-11-27,SKU0022,815,0.62,Maintenance
PR000805,2020-11-29,SKU0024,646,0.06,Labor Issue
PR000806,2022-04-15,SKU0017,442,0.25,None
PR000807,2021-04-06,SKU0005,1092,1.95,Maintenance
PR000808,2023-12-28,SKU0012,522,5.45,Machine Failure
PR000809,2019-12-15,SKU0001,142,0.46,Maintenance
PR000810,2022-07-02,SKU0010,191,2.66,Material Shortage
PR000811,2019-11-04,SKU0011,1410,4.03,Maintenance
PR000812,2022-02-24,SKU0016,377,1.47,Machine Failure
PR000813,2024-05-14,SKU0014,580,2.21,Labor Issue
PR000814,2021-02-04,SKU0008,534,3.37,Maintenance
PR000815,2020-12-25,SKU0024,1716,0.6,Maintenance
PR000816,2023-06-08,SKU0017,1316,0.7,Maintenance
PR000817,2020-01-18,SKU0025,1032,0.0,Maintenance
PR000818,2020-06-08,SKU0018,1294,6.6,Machine Failure
PR000819,2019-10-03,SKU0012,1410,4.99,None
PR000820,2019-12-03,SKU0025,92,2.89,None
PR000821,2024-05-27,SKU0017,1989,0.16,Maintenance
PR000822,2020-04-25,SKU0028,528,1.19,Machine Failure
PR000823,2021-06-29,SKU0026,1177,0.21,Machine Failure
PR000824,2024-06-19,SKU0014,404,0.03,Maintenance
PR000825,2022-09-13,SKU0016,839,1.92,Material Shortage
PR000826,2024-07-26,SKU0014,1172,6.48,Maintenance
PR000827,2023-10-21,SKU0009,888,4.66,Material Shortage
PR000828,2019-04-19,SKU0004,1290,2.39,Maintenance
PR000829,2019-11-24,SKU0025,421,0.2,Material Shortage
PR000830,2023-12-05,SKU0023,1863,0.64,Material Shortage
PR000831,2019-11-11,SKU0011,1641,0.77,Maintenance
PR000832,2022-02-08,SKU0006,471,2.88,Material Shortage
PR000833,2021-02-19,SKU0015,892,3.24,Labor Issue
PR000834,2023-03-01,SKU0005,546,0.97,None
PR000835,2019-06-05,SKU0011,630,1.08,Machine Failure
PR000836,2023-02-05,SKU0025,1549,0.09,Material Shortage
PR000837,2023-09-21,SKU0018,1526,0.68,Material Shortage
PR000838,2021-06-05,SKU0030,1037,1.2,Machine Failure
PR000839,2020-12-22,SKU0013,777,0.25,Material Shortage
PR000840,2021-07-01,SKU0011,1675,1.21,Machine Failure
PR000841,2021-05-20,SKU0014,1829,3.84,Maintenance
PR000842,2019-01-13,SKU0028,363,1.74,Labor Issue
PR000843,2020-05-12,SKU0018,118,0.16,Labor Issue
PR000844,2023-10-23,SKU0027,1261,0.43,None
PR000845,2022-01-22,SKU0028,545,1.29,Material Shortage
PR000846,2022-04-09,SKU0025,1192,0.9,None
PR000847,2024-06-27,SKU0028,521,0.89,Maintenance
PR000848,2023-07-06,SKU0019,633,1.51,Labor Issue
PR000849,2023-05-10,SKU0024,1936,1.76,Maintenance
PR000850,2023-01-30,SKU0027,1680,3.19,Maintenance
PR000851,2019-05-23,SKU0015,962,0.83,Material Shortage
PR000852,2022-05-09,SKU0009,957,3.27,Maintenance
PR000853,2020-07-18,SKU0008,1758,0.83,Labor Issue
PR000854,2023-09-12,SKU0020,882,0.11,None
PR000855,2020-02-21,SKU0028,1792,1.62,Labor Issue
PR000856,2024-01-23,SKU0001,779,1.77,Material Shortage
PR000857,2023-09-14,SKU0004,870,5.45,Labor Issue
PR000858,2022-10-22,SKU0014,515,2.59,Machine Failure
PR000859,2021-12-03,SKU0025,937,5.0,None
PR000860,2024-02-10,SKU0002,1420,4.78,Machine Failure
PR000861,2022-01-26,SKU0016,865,1.86,Machine Failure
PR000862,2022-07-12,SKU0003,105,1.5,Material Shortage
PR000863,2023-12-12,SKU0026,1108,1.63,Maintenance
PR000864,2024-12-27,SKU0008,213,7.66,Machine Failure
PR000865,2023-02-13,SKU0006,1144,2.97,Labor Issue
PR000866,2021-10-13,SKU0016,1155,0.22,Maintenance
PR000867,2021-08-10,SKU0024,849,3.01,Labor Issue
PR000868,2019-03-13,SKU0016,196,0.37,Labor Issue
PR000869,2023-08-18,SKU0007,18,1.19,Maintenance
PR000870,2022-07-15,SKU0030,641,0.47,Maintenance
PR000871,2022-09-06,SKU0013,1035,2.34,Labor Issue
PR000872,2024-11-24,SKU0013,1104,4.2,Material Shortage
PR000873,2021-06-01,SKU0005,329,0.69,None
PR000874,2019-05-19,SKU0025,865,0.17,None
PR000875,2023-02-13,SKU0020,773,0.71,Material Shortage
PR000876,2021-01-02,SKU0022,391,2.23,Maintenance
PR000877,2023-10-15,SKU0018,636,0.8,Labor Issue
PR000878,2020-02-28,SKU0015,306,0.65,None
PR000879,2023-05-11,SKU0018,1290,0.41,Labor Issue
PR000880,2020-01-25,SKU0002,1470,1.38,Material Shortage
PR000881,2019-12-08,SKU0010,1464,0.65,Labor Issue
PR000882,2021-08-03,SKU0023,894,2.63,Material Shortage
PR000883,2020-09-05,SKU0013,651,0.16,Maintenance
PR000884,2020-05-07,SKU0018,840,2.18,Material Shortage
PR000885,2019-07-11,SKU0015,1025,0.54,Material Shortage
PR000886,2020-05-13,SKU0012,519,1.34,None
PR000887,2021-04-01,SKU0015,1785,0.67,Labor Issue
PR000888,2023-10-02,SKU0013,1674,2.57,None
PR000889,2022-06-10,SKU0018,635,5.81,Machine Failure
PR000890,2024-05-22,SKU0015,1332,4.98,Material Shortage
PR000891,2019-08-15,SKU0025,739,1.75,Machine Failure
PR000892,2022-10-26,SKU0023,1545,1.24,None
PR000893,2024-12-26,SKU0011,468,3.41,Labor Issue
PR000894,2021-03-27,SKU0019,211,2.3,None
PR000895,2023-01-13,SKU0003,1135,0.41,Labor Issue
PR000896,2021-12-22,SKU0007,1031,3.44,Labor Issue
PR000897,2019-04-14,SKU0021,803,1.12,Maintenance
PR000898,2024-02-18,SKU0026,476,0.42,Material Shortage
PR000899,2021-05-20,SKU0014,873,0.66,None
PR000900,2020-10-29,SKU0014,459,0.62,Labor Issue
PR000901,2024-08-04,SKU0022,252,1.46,None
PR000902,2019-09-30,SKU0013,1549,0.53,None
PR000903,2021-10-26,SKU0012,751,0.26,Labor Issue
PR000904,2021-11-17,SKU0024,1461,0.26,Machine Failure
PR000905,2023-04-23,SKU0009,1777,1.75,Material Shortage
PR000906,2019-10-20,SKU0001,980,2.65,Material Shortage
PR000907,2024-10-06,SKU0019,853,0.78,Maintenance
PR000908,2022-07-16,SKU0011,1684,0.07,Maintenance
PR000909,2019-11-04,SKU0023,235,0.27,Maintenance
PR000910,2021-09-03,SKU0022,1329,4.92,Material Shortage
PR000911,2022-06-05,SKU0023,477,1.36,Machine Failure
PR000912,2022-06-24,SKU0024,678,1.21,Material Shortage
PR000913,2023-02-26,SKU0022,1043,0.08,Material Shortage
PR000914,2024-10-31,SKU0019,215,2.61,Material Shortage
PR000915,2022-04-24,SKU0018,854,1.5,Material Shortage
PR000916,2022-10-10,SKU0012,134,0.45,Machine Failure
PR000917,2023-11-09,SKU0023,904,0.23,Maintenance
PR000918,2023-09-16,SKU0028,1152,0.97,None
PR000919,2024-08-04,SKU0028,409,3.63,Maintenance
