shipment_id,purchase_order_id,transport_mode,shipment_cost,transit_delay_days
SH000684,PO00234,Air,4616.95,3
SH000685,PO00515,Sea,435.96,7
SH000686,PO00308,Air,2952.8,8
SH000687,PO00739,Air,4297.42,7
SH000688,PO00796,Air,1361.25,2
SH000689,PO00070,Road,4406.2,11
SH000690,PO00454,Air,291.41,2
SH000691,PO00439,Air,3715.78,10
SH000692,PO00364,Rail,4678.94,6
SH000693,PO00766,Road,3354.55,8
SH000694,PO00481,Sea,2307.34,2
SH000695,PO00144,Sea,415.43,0
SH000696,PO00024,Air,4616.55,11
SH000697,PO00425,Sea,2457.42,11
SH000698,PO00746,Sea,339.18,0
SH000699,PO00175,Sea,3511.14,-1
SH000700,PO00325,Air,2512.82,3
